Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Andersen L., Ward T.J.","55973582500;7402100092;","Expectancy-value models for the STEM persistence plans of ninth-grade, high-ability students: A comparison between black, hispanic, and white students",2014,"Science Education","98","2",,"216","242",,34,"10.1002/sce.21092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894072527&doi=10.1002%2fsce.21092&partnerID=40&md5=4ab794e39cbd7ee32b6533e4af4228ad","Department of Educational Policy, Planning, and Leadership, College of William and Mary, Williamsburg, VA 23185, United States","Andersen, L., Department of Educational Policy, Planning, and Leadership, College of William and Mary, Williamsburg, VA 23185, United States; Ward, T.J., Department of Educational Policy, Planning, and Leadership, College of William and Mary, Williamsburg, VA 23185, United States","Group differences in the effects of the expectancies and values that high-ability students have for science and mathematics on plans to persist in science, technology, engineering, and mathematics (STEM) were investigated. A nationally representative sample of ninth-grade students, the High School Longitudinal Study of 2009 (HSLS: 2009; n = 21,444) was used. The analytic sample was 1,757 (48% female, 52% male) Black (13.8%), Hispanic (26.7%), and White (59.6%) students who scored in the top 10% of their race group on the mathematics achievement test. Hierarchical logistic regression models were developed for each race/ethnicity group to examine the relationships of demographic and expectancy-value variables with STEM persistence status. Science attainment value, science intrinsic value, and STEM utility value were predictive of STEM persistence, but these variables operated differently in groups of Black, Hispanic, and White students. Implications for educators include the need for ways to improve perceptions of science identity and awareness of the utility of science and mathematics courses. © 2013 Wiley Periodicals, Inc.",,,,,,,"Andersen, L.; Department of Educational Policy, Planning, and Leadership, College of William and Mary, Williamsburg, VA 23185, United States; email: landersen@ksu.edu",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84894072527
"Sin C.","55342408500;","Epistemology, sociology, and learning and teaching in physics",2014,"Science Education","98","2",,"342","365",,5,"10.1002/sce.21100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894100823&doi=10.1002%2fsce.21100&partnerID=40&md5=105721498f804741243fd9b3513d3a6e","Centre for Research in Higher Education Policies (CIPES), 4450-227 Matosinhos, Portugal","Sin, C., Centre for Research in Higher Education Policies (CIPES), 4450-227 Matosinhos, Portugal","This paper explores the relationship between epistemology, sociology, and learning and teaching in physics based on an examination of literature from research in science studies, history and philosophy of science, and physics pedagogic researchIt reveals a mismatch between the positivist epistemological foundation which seems to underpin the teaching of physics at the undergraduate level and the tentative nature of knowledge and the primarily social-constructivist process of knowledge creation which characterise the practices of professional physicistsAttention is drawn to the consequences of neglecting this mismatch, which is detrimental to students' understanding of the nature of the discipline, their conceptual development, and the acquisition of skills essential not only for a scientific career but also for students' development as individuals and citizensThe paper argues for the explicit contemplation of disciplinary epistemology in physics teaching and in pedagogic research to improve student learning and for the avoidance of the dangers of epistemological essentialism© 2014 Wiley Periodicals, Inc.",,,,,,,"Sin, C.; Centre for Research in Higher Education Policies (CIPES), 4450-227 Matosinhos, Portugal; email: csin@cipes.up.pt",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84894100823
"Novick L.R., Catley K.M.","7005147589;6505988346;","When relationships depicted diagrammatically conflict with prior knowledge: An investigation of students' interpretations of evolutionary trees",2014,"Science Education","98","2",,"269","304",,7,"10.1002/sce.21097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894076346&doi=10.1002%2fsce.21097&partnerID=40&md5=41a107d35b7646998594fbad4b053f55","Department of Psychology and Human Development, Vanderbilt University, United States; Department of Biology, Western Carolina University, Cullowhee, NC 28723, United States","Novick, L.R., Department of Psychology and Human Development, Vanderbilt University, United States; Catley, K.M., Department of Biology, Western Carolina University, Cullowhee, NC 28723, United States","Science is an important domain for investigating students' responses to information that contradicts their prior knowledge. In previous studies of this topic, this information was communicated verbally. The present research used diagrams, specifically trees (cladograms) depicting evolutionary relationships among taxa. Effects of college students' and 10th graders' prior knowledge on their ability to reason from information depicted in cladograms was evaluated in two ways: (1) By keeping the hierarchical branching structure constant while manipulating whether the taxa-targeted common misconceptions about biological classification or were unfamiliar; and (2) by keeping the targeted misconception constant while manipulating the strength of the evidence countermanding that misconception. Students demonstrated more sophisticated reasoning when (1) the taxa were unfamiliar, so they had to rely on the diagrammatic information presented rather than their incorrect prior knowledge, and (2) stronger evidence contradicting their incorrect prior knowledge was presented. Students' challenges to correctly interpreting evolutionary trees included lower level of schooling and greater strength of the misconception. College, but not high school, students showed some ability to transfer their better reasoning with cladograms depicting relationships among unfamiliar taxa to cladograms depicting taxon relationships that contradicted their everyday conceptions. Implications for improving biology education and overcoming misconceptions are discussed. © 2014 Wiley Periodicals, Inc.",,,,,,,"Novick, L.R.; Department of Psychology and Human Development, Vanderbilt UniversityUnited States; email: Laura.Novick@vanderbilt.edu",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84894076346
"Morin O., Simonneaux L., Simonneaux J., Tytler R., Barraza L.","54420821000;6507935340;35203901200;6602480067;6602850327;","Developing and Using an S3R Model to Analyze Reasoning in Web-Based Cross-National Exchanges on Sustainability",2014,"Science Education","98","3",,"517","542",,3,"10.1002/sce.21113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898682104&doi=10.1002%2fsce.21113&partnerID=40&md5=69f436c0372e70d86fe4aeaddd563d28","UMR EFTS, Toulouse, France; École Supérieure du Professorat et de l'Éducation, Université Lyon 1, Lyon, France; UMR EFTS, École Nationale de Formation Agronomique, Toulouse, France; School of Education, Deakin University, Geelong, Australia; School of Education, Deakin University, Melbourne, Australia","Morin, O., UMR EFTS, Toulouse, France, École Supérieure du Professorat et de l'Éducation, Université Lyon 1, Lyon, France; Simonneaux, L., UMR EFTS, École Nationale de Formation Agronomique, Toulouse, France; Simonneaux, J., UMR EFTS, École Nationale de Formation Agronomique, Toulouse, France; Tytler, R., School of Education, Deakin University, Geelong, Australia; Barraza, L., School of Education, Deakin University, Melbourne, Australia","Within the increasing body of research that examines students' reasoning on socioscientific issues, we consider in particular student reasoning concerning acute, open-ended questions that bring out the complexities and uncertainties embedded in ill-structured problems. In this paper, we propose a socioscientific sustainability reasoning (S3R) model to analyze students' reasoning exchanges on environmental socially acute questions (ESAQs). The paper describes the development of an epistemological analysis of how sustainability perspectives can be integrated into socioscientific reasoning, which emphasizes the need for S3R to be both grounded in context and collective. We argue the complexity of ESAQs requires a consideration of multiple dimensions that form the basis of our S3R analysis model: problematization, interactions, knowledge, uncertainties, values, and governance. For each dimension, in the model we have identified indicators of four levels of complexity. We investigated the usefulness of the model in identifying improvements in reasoning that flow from cross-national web-based exchanges between groups of French and Australian students, concerning a local and a global ESAQ. The S3R model successfully captured the nature of reasoning about socioscientific sustainability issues, with the collective negotiation of multiple forms of knowledge as a key characteristic in improving reasoning levels. The paper provides examples of collaborative argumentation in collective texts (wikis) to illustrate the various levels of reasoning in each dimension, and diagrammatic representation of the evolution of collective reflections. We observe that a staged process of construction and confrontation, involving groups representing to some extent different cultural and contextual stances, is powerful in eliciting reasoned argument of enhanced quality. © 2014 Wiley Periodicals, Inc.",,,,,,,"Morin, O.; UMR EFTS, Toulouse, France; email: olivier.morin@univ-lyon1.fr",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84898682104
"Jack B.M., Lin H.-S.","23027670300;7405566852;","Igniting and Sustaining Interest Among Students Who Have Grown Cold Toward Science",2014,"Science Education","98","5",,"792","814",,10,"10.1002/sce.21119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906078663&doi=10.1002%2fsce.21119&partnerID=40&md5=02e492cac525313a0f9662dce2097dfc","Center for General Education, National Sun Yat-sen University, Kaohsiung 804, Taiwan","Jack, B.M., Center for General Education, National Sun Yat-sen University, Kaohsiung 804, Taiwan; Lin, H.-S., Center for General Education, National Sun Yat-sen University, Kaohsiung 804, Taiwan","In the wake of interest-study research in science education over the past 10 years, investigators have published many articles on how to define, measure, and develop students' interest in learning science. This present study approaches empirical investigations on students' interest in learning science from a different perspective. We argue that when three specific instructional strategies are combined, they form the Interest Combustion Triangle (ICT), which ignites and sustains interest in learning science among students who have grown cold toward science content. A future research agenda proposing a newly modified instructional strategy called the K-W-L2-R Strategy Tool for providing science teachers and research investigators with a practical method for operationalizing and testing the ICT within the classroom context is also proposed. © 2014 Wiley Periodicals, Inc.",,,,,,,"Jack, B.M.; Center for General Education, National Sun Yat-sen University, Kaohsiung 804, Taiwan; email: bradyjack@gmail.com",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84906078663
"Russ R.S.","15758298100;","Epistemology of Science vs. Epistemology for Science",2014,"Science Education","98","3",,"388","396",,10,"10.1002/sce.21106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898823822&doi=10.1002%2fsce.21106&partnerID=40&md5=fcc66040e5f61b24aa430505df5d9d66","Department of Curriculum and Instruction, University of Wisconsin, Madison, WI, 53706, United States","Russ, R.S., Department of Curriculum and Instruction, University of Wisconsin, Madison, WI, 53706, United States",[No abstract available],,,,,,,"Russ, R.S.; Department of Curriculum and Instruction, University of Wisconsin, Madison, WI, 53706, United States; email: rruss@wisc.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84898823822
"Lundegård I., Hamza K.M.","40461955600;23392798300;","Putting the Cart Before the Horse: The Creation of Essences out of Processes in Science Education Research",2014,"Science Education","98","1",,"127","142",,3,"10.1002/sce.21086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890658037&doi=10.1002%2fsce.21086&partnerID=40&md5=f90ba80f6cb228f9869976ffaa54680a","Department of Mathematics and Science Education, Stockholm University, Stockholm, Sweden","Lundegård, I., Department of Mathematics and Science Education, Stockholm University, Stockholm, Sweden; Hamza, K.M., Department of Mathematics and Science Education, Stockholm University, Stockholm, Sweden","This article addresses the problem of treating generalizations of human activity as entities and structures that ultimately explain the activities from which they were initially drawn. This is problematic because it involves a circular reasoning leading to unwarranted claims explaining the originally studied activities of science teaching and learning. Unlike other fields within social science research, this problem has not been appreciated and discussed in the science education literature and the field thus needs to be reminded of it. A heuristic specifically developed for the purposes of this article is applied to two examples taken from a much-cited research in the field. Through the examples it is argued that the practice of creating entities out of generalizations of science classroom activities leads to a number of unintended consequences. It is further argued that the stated purposes in the two example articles would actually have been better served by investigating the entire processes through which the activities develop, as well as how the activities may change through teaching. The article concludes that through the search for explanations caused by underlying entities, science education research runs a risk of alienating its results from the activities from which it initially wanted to meliorate. © 2013 Wiley Periodicals, Inc.",,,,,,,"Lundegård, I.; Department of Mathematics and Science Education, Stockholm University, Stockholm, Sweden; email: iann.lundegard@mnd.su.se",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84890658037
"Hansson L.","36135563500;","Students' Views Concerning Worldview Presuppositions Underpinning Science: Is the World Really Ordered, Uniform, and Comprehensible?",2014,"Science Education","98","5",,"743","765",,3,"10.1002/sce.21129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906056585&doi=10.1002%2fsce.21129&partnerID=40&md5=fb74afb58602c7c2249b50e403925a2f","Kristianstad University, Kristianstad, S-29188, Sweden","Hansson, L., Kristianstad University, Kristianstad, S-29188, Sweden","That nature and the universe are ordered, uniform, and comprehensible is a starting point in science. However, such worldview presuppositions are often taken for granted, rather than explicitly mentioned, in science and in science class. This article takes a worldview perspective and reports from interviews (N = 26) with upper secondary students on how they view order, uniformity, and comprehensibility. In the article, it is shown that while most students view the universe as ordered and comprehensible, it is common for students to disagree that the universe is uniform. That is, they view scientific laws as only locally valid. In addition, many of them do not know that science builds upon such worldview presuppositions. In some cases, the results show differences between students' own views and the views they associate with science. For example, it is common for students to state that science views the universe as more comprehensible than they themselves do. The consequences for students' interests as well as their learning of science are discussed. © 2014 Wiley Periodicals, Inc.",,,,,,,"Hansson, L.; Kristianstad University, Kristianstad, S-29188, Sweden; email: lena.hansson@hkr.se",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84906056585
"Clark D.B., Menekse M., Ozdemir G., D'Angelo C.M., Price Schleigh S.","7404790457;26428291500;26428932300;35202968800;55969614300;","Exploring Sources of Variation in Studies of Knowledge Structure Coherence: Comparing Force Meanings and Force Meaning Consistency Across Two Turkish Cities",2014,"Science Education","98","1",,"143","181",,,"10.1002/sce.21094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890600301&doi=10.1002%2fsce.21094&partnerID=40&md5=8d42788a73ff7566eaac8b3ebe0fbb19","Peabody College of Education, Vanderbilt University, Nashville, TN 37203, United States; LRDC, University of Pittsburgh, Pittsburgh, PA 15260, United States; Faculty of Education, Nigde University, Nigde, 51240, Turkey; SRI International, Menlo Park, CA 94025, United States; Purdue University Calumet, Hammond, IN 46323, United States","Clark, D.B., Peabody College of Education, Vanderbilt University, Nashville, TN 37203, United States; Menekse, M., LRDC, University of Pittsburgh, Pittsburgh, PA 15260, United States; Ozdemir, G., Faculty of Education, Nigde University, Nigde, 51240, Turkey; D'Angelo, C.M., SRI International, Menlo Park, CA 94025, United States; Price Schleigh, S., Purdue University Calumet, Hammond, IN 46323, United States","Substantial variation has been observed across an international series of studies examining the consistency of students' explanations of force and the most common meanings of force apparent in those explanations. On the surface, the variations among studies might be attributed to differences at the national level, but the studies also demonstrate differences among students from different schools in the United States. To what degree, therefore, can these variations be attributed to differences in educational systems as opposed to demographic differences or random variation? The current study compares student interviews across two cities in Turkey to provide insight into this question because Turkey, unlike the United States, has a strongly standardized national educational system. The results demonstrate no significant differences in students' consistency or meanings of force between cities. The results, however, demonstrate the expected differences across ages and majors, which suggest that the study has sufficient power. Thus, while differences have been observed between every city and country in the previous studies, and differences are observed in the current study in terms of grade level and academic majors, no differences are observed between the cities in Turkey. The implications of these findings are discussed in terms of ongoing conceptual change research. © 2013 Wiley Periodicals, Inc.",,,,,,,"Clark, D.B.; Peabody College of Education, Vanderbilt University, Nashville, TN 37203, United States; email: 42dc42@gmail.com",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84890600301
"Suter L.E.","8357524000;","Visiting Science Museums During Middle and High School: A Longitudinal Analysis of Student Performance in Science",2014,"Science Education","98","5",,"815","839",,7,"10.1002/sce.21116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906070260&doi=10.1002%2fsce.21116&partnerID=40&md5=b002f86b04844d207cb57bd55fe7b7b8","2515 Gadsby Place, Alexandria, VA 22311, United States","Suter, L.E., 2515 Gadsby Place, Alexandria, VA 22311, United States","This exploratory analysis of student attendance at science museums finds that student achievement in science and mathematics is somewhat higher for those students who visited science museums frequently during the school year or summer. The strength of the association with cognitive achievement is sufficiently noteworthy to encourage further analysis of the role of informal activities such as museum attendance on cognitive learning. The association of cognitive performance with science museum visiting was found to be only partially a product of student selectivity of parents with higher educational levels or prior achievement at earlier grades. However, student attitudes of science efficacy, utility, and anxiety in middle school were not found to be predictive or a result of frequent science museum attendance or achievement in later high school years, although attitudes and cognitive achievement did become more aligned by the 12th grade. But, no evidence is found in the analysis of the Longitudinal Study of American Youth (1987-1993) and the 2009 High School Longitudinal Survey that visiting science museums was associated with reversing the typical trend of decline in student reports of science self-efficacy or beliefs in the utility of science during high school years. © 2014 Wiley Periodicals, Inc.",,,,,,,"Suter, L.E.2515 Gadsby Place, Alexandria, VA 22311, United States; email: Larryesuter@gmail.com",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84906070260
"Salter I.Y., Atkins L.J.","36995087600;7005842017;","What Students Say Versus What They Do Regarding Scientific Inquiry",2014,"Science Education","98","1",,"1","35",,14,"10.1002/sce.21084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890792440&doi=10.1002%2fsce.21084&partnerID=40&md5=b0ea35eb210d5f275c1c446320f6e111","Department of Science Education, California State University, Chico, CA 95929, United States; Department of Physics, California State University, Chico, CA 95929, United States","Salter, I.Y., Department of Science Education, California State University, Chico, CA 95929, United States; Atkins, L.J., Department of Science Education, California State University, Chico, CA 95929, United States, Department of Physics, California State University, Chico, CA 95929, United States","We teach a course for elementary education undergraduates that gives students an opportunity to conduct open-ended scientific inquiry and pursue their own scientific questions in much the same way that practicing research scientists do. In this study, we compared what our students say declaratively about the nature of science (NOS) in surveys and interviews with what they do procedurally when engaged in authentic scientific practice. Initially, we were surprised when our students showed very little change on two different validated NOS questionnaires, adhering to seemingly memorized definitions of key NOS vocabulary such as ""science"" and ""experiment."" In contrast, on procedural measures of NOS understanding, students developed a decidedly sophisticated approach to answering scientific questions. Our data suggest that students' declarative understandings about the NOS are not a reliable measure of students' ability to engage productively in scientific practices and vice versa. We discuss why this might be and consider the implications of this disconnect on identifying the best approach to NOS instruction and on future science education research. © 2013 Wiley Periodicals, Inc.",,,,,,,"Salter, I.Y.; Department of Science Education, California State University, Chico, CA 95929, United States; email: isalter@csuchico.edu",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84890792440
"Fives H., Huebner W., Birnbaum A.S., Nicolich M.","6507052287;7005445462;7007017776;57197433713;","Developing a Measure of Scientific Literacy for Middle School Students",2014,"Science Education","98","4",,"549","580",,15,"10.1002/sce.21115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902478991&doi=10.1002%2fsce.21115&partnerID=40&md5=dbe4e8a572dbd0d8f24ff89b7f8e801f","Department of Educational Foundations, Montclair State University, Montclair, NJ 07043, United States; Cogimet, Lambertville, NJ 08530, United States","Fives, H., Department of Educational Foundations, Montclair State University, Montclair, NJ 07043, United States; Huebner, W., Cogimet, Lambertville, NJ 08530, United States; Birnbaum, A.S., Cogimet, Lambertville, NJ 08530, United States; Nicolich, M., Department of Educational Foundations, Montclair State University, Montclair, NJ 07043, United States","Scientific literacy reflects ""a broad and functional understanding of science for general education purposes"" (DeBoer, p. 594). Herein, we present the ongoing development of the Scientific Literacy Assessment (SLA), a work-in-progress measure to assess middle school students' (ages 11-14) scientific literacy. The SLA includes a selected response measure of students' demonstrated scientific literacy (SLA-D) and a motivation and beliefs scale based on existing measures of self-efficacy, subjective task value, and personal epistemology for science (SLA-MB). Our theoretical conceptualization of scientific literacy guided the development of our measure. We provide details from three studies: Pilot Study 1 (n = 124) and Pilot Study 2 (n = 220) describe the development of the SLA-D by conducting iterative item analyses of the student responses, think-aloud interviews with six students, and external expert feedback on the items in the SLA-D. Study 3 describes the testing of our prototype measure (n = 264). We present a validity argument including reliability evidence that supports the use of the current version of the SLA to provide evaluation of middle school students' scientific literacy. Our resulting SLA includes the SLA-D in two versions, each with 26 items and the SLA-MB with 25 items across three scales: value of science, scientific literacy self-efficacy, and personal epistemology. © 2014 Wiley Periodicals, Inc.",,,,,,,"Fives, H.; Department of Educational Foundations, Montclair State University, Montclair, NJ 07043, United States; email: fivesh@mail.montclair.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84902478991
"Braun I., Nückles M.","25651684400;6506556465;","Scholarly Holds Lead Over Popular and Instructional: Text Type Influences Epistemological Reading Outcomes",2014,"Science Education","98","5",,"867","904",,1,"10.1002/sce.21117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906061810&doi=10.1002%2fsce.21117&partnerID=40&md5=0227b090cea7374bf4b747adcbd67c9b","Department of Educational Science, University of Freiburg, 79098 Freiburg, Germany","Braun, I., Department of Educational Science, University of Freiburg, 79098 Freiburg, Germany; Nückles, M., Department of Educational Science, University of Freiburg, 79098 Freiburg, Germany","Scholarly scientific literature conveys epistemological assumptions scientists operate on. Popular scientific literature and instructional science texts deviate in their portrayal of science from these epistemological assumptions. Thus, scholarly scientific literature holds more potential for improving students' epistemological understanding of science. In an experimental study, we had 78 high school students read an original report from a scholarly scientific journal, a version of the same research article modified for low-knowledge readers, a popular scientific article, or a chapter from a science textbook. Students who had read the research article or the modified research article improved significantly strongest in their understanding of the constructive nature of science and the argumentative nature of science. We conclude that scholarly scientific literature produces more beneficial epistemological reading outcomes than popular scientific literature and instructional science texts. Therefore, science teachers should be encouraged to incorporate scholarly scientific literature in classroom reading activities. © 2014 Wiley Periodicals, Inc.",,,,,,,"Braun, I.; Department of Educational Science, University of Freiburg, 79098 Freiburg, Germany; email: isabel.braun@ezw.uni-freiburg.de",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84906061810
"Kang H., Thompson J., Windschitl M.","36623968000;7405819479;6701614475;","Creating Opportunities for Students to Show What They Know: The Role of Scaffolding in Assessment Tasks",2014,"Science Education","98","4",,"674","704",,19,"10.1002/sce.21123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902529268&doi=10.1002%2fsce.21123&partnerID=40&md5=35b843682c2c756bd5ba0fda19f74561","School of Education, University of California-Irvine, Irvine, CA, 92697, United States; College of Education, University of Washington, Seattle, WA, 98195, United States","Kang, H., School of Education, University of California-Irvine, Irvine, CA, 92697, United States; Thompson, J., College of Education, University of Washington, Seattle, WA, 98195, United States; Windschitl, M., College of Education, University of Washington, Seattle, WA, 98195, United States","This study examines the ways in which teachers provide students with written scaffolds in assessment tasks and the impact of these on students' abilities to demonstrate a core disciplinary proficiency-constructing evidence-based explanations. Data include 76 assessment tasks designed by 33 science teachers and 707 samples of student work. We found five types of scaffolding embedded in assessments that allowed students to make their reasoning explicit: (a) using contextualized phenomena, (b) rubrics, (c) checklists, (d) sentence frames, and (e) encouraging students to draw explanatory models in combination with written explanation. Analyses showed that all five forms of scaffolding were significantly associated with the quality of student explanation even when controlling for teacher variance and student background. Providing contextualized phenomena had the greatest impact on the quality of student explanations, both by itself and in combination with other scaffolding. The results indicate that strategic combinations of scaffolds can prompt students across all achievement levels to more readily use what they know to produce evidence-based explanations, but that the scaffolding must be of high quality. © 2014 Wiley Periodicals, Inc.",,,,,,,"Kang, H.; School of Education, University of California-Irvine, Irvine, CA, 92697, United States; email: hosunk@uci.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84902529268
"Furtak E.M., Morrison D., Kroog H.","13605112700;55800714100;56206481000;","Investigating the Link Between Learning Progressions and Classroom Assessment",2014,"Science Education","98","4",,"640","673",,20,"10.1002/sce.21122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902438198&doi=10.1002%2fsce.21122&partnerID=40&md5=f6b41e8ff2ee6ace89198ba02494a86f","School of Education, University of Colorado at Boulder, Boulder, CO 80309, United States; School of Education and Human Development, University of Colorado Denver, Denver, CO 80217, United States","Furtak, E.M., School of Education, University of Colorado at Boulder, Boulder, CO 80309, United States; Morrison, D., School of Education, University of Colorado at Boulder, Boulder, CO 80309, United States; Kroog, H., School of Education and Human Development, University of Colorado Denver, Denver, CO 80217, United States","An increasing number of researchers are calling for learning progressions to be used as interpretive frameworks for teachers conducting classroom assessment. The argument posits that by linking classroom assessments to learning progressions, teachers will have better resources to interpret and take instructional action on the basis of what students know. In this paper, we draw on data from a research project in which we have supported high school biology teachers in interpreting student responses to a multiple-choice classroom assessment linked to a learning progression for natural selection. We draw upon multiple sources of data, including student responses to a pre-post classroom assessment, artifacts from professional development sessions, and videotapes and transcripts of professional development meetings to construct a case study of one department of teachers as they came to understand the learning progression, interpreted results of classroom assessments, and revised their instruction. We use this case to illustrate the promise and challenges associated with linking classroom assessments to learning progressions. We conclude with recommendations to the field and suggestions for future work in this area. © 2014 Wiley Periodicals, Inc.",,,,,,,"Furtak, E.M.; School of Education, University of Colorado at Boulder, Boulder, CO 80309, United States; email: erin.furtak@colorado.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84902438198
"Eilam B., Reiter S.","6603257710;56205179000;","Long-Term Self-Regulation of Biology Learning Using Standard Junior High School Science Curriculum",2014,"Science Education","98","4",,"705","737",,6,"10.1002/sce.21124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902463355&doi=10.1002%2fsce.21124&partnerID=40&md5=464c60e2a6d4175036397513b48d0600","Faculty of Education, University of Haifa, Mt. Carmel, Haifa, 31905, Israel","Eilam, B., Faculty of Education, University of Haifa, Mt. Carmel, Haifa, 31905, Israel; Reiter, S., Faculty of Education, University of Haifa, Mt. Carmel, Haifa, 31905, Israel","In today's world of information explosion, independent lifelong self-regulated learning (SRL) is becoming a necessity. However, opportunities in schools to experience such learning modes are relatively rare. This long-term explorative field study examined students' SRL of science. Changes in students' self-reported and enacted SRL in two ninth-grade science classrooms were measured over the course of a full academic year. The self-regulating (SR) class (n = 25) studied genetics while self-regulating their learning. The teacher-controlled (TC) class (n = 27) studied the same content in a teacher-regulated mode. Data were collected at several time points along the year by SRL questionnaires (Learning and Study Strategies Inventory, LASSI), science knowledge tests, and (in the SR group only) protocols for measuring enacted SRL. Findings showed that enacted SRL correlated with self-reported SRL, validating measurements. The SR students outperformed their TC peers in science learning. Significant changes over time in both self-reported and enacted SRL emerged only for the SR students, suggesting that long-term SRL practices may promote awareness of learning processes and ability to apply SRL. Implications for school learning are discussed. © 2014 Wiley Periodicals, Inc.",,,,,,,"Eilam, B.; Faculty of Education, University of Haifa, Mt. Carmel, Haifa, 31905, Israel; email: beilam@edu.haifa.ac.il",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84902463355
"Sondergeld T.A., Johnson C.C.","37041672900;16233773200;","Using Rasch Measurement for the Development and Use of Affective Assessments in Science Education Research",2014,"Science Education","98","4",,"581","613",,11,"10.1002/sce.21118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902546499&doi=10.1002%2fsce.21118&partnerID=40&md5=b282f692711cd2fe593a70d3320fa2be","School of Educational Foundations, Leadership and Policy, College of Education and Human Development, Center of Assessment Evaluation Services (CAES), Bowling Green State University, Bowling Green, OH, 43403, United States; Department of Curriculum and Instruction, College of Education, Center for Advancing the Teaching and Learning of STEM (CATALYST), Purdue University, West Lafayette, IN, 47909, United States","Sondergeld, T.A., School of Educational Foundations, Leadership and Policy, College of Education and Human Development, Center of Assessment Evaluation Services (CAES), Bowling Green State University, Bowling Green, OH, 43403, United States; Johnson, C.C., Department of Curriculum and Instruction, College of Education, Center for Advancing the Teaching and Learning of STEM (CATALYST), Purdue University, West Lafayette, IN, 47909, United States","With the demand for quality quantitative instruments in the field of science education rising, additional measures of currently unassessed affective variables need to be constructed. In this study, we discuss the survey creation and evaluation process of the STEM Awareness Community Survey (SACS) through an application of Liu's () framework for developing and using new affective instruments in science education. Liu's () survey development framework uses Rasch measurement methods in survey evaluation to ensure a psychometrically sound measure is created. In surveying K-12 teachers, community business members, and higher education faculty through two iterative pilot studies, a unidimensional construct of STEM awareness and support was empirically established after misfitting items were removed and scale modifications were made. Further instructions on how to use results produced from the SACS are provided, so that even those with no or limited knowledge of Rasch analysis could use the instrument and interpret their findings with respect to the construct of STEM awareness and support. © 2014 Wiley Periodicals, Inc.",,,,,,,"Sondergeld, T.A.; School of Educational Foundations, Leadership and Policy, College of Education and Human Development, Center of Assessment Evaluation Services (CAES), Bowling Green State University, Bowling Green, OH, 43403, United States; email: tsonder@bgsu.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84902546499
